id,gen,varsta,educatie,regiune,mediu,salariu_lunar_net_lei,promovat
1024,M,27,Liceu,Sud-Vest Oltenia,Urban,3391.0,Da
1025,M,48,Liceu,Sud-Muntenia,Rural,3985.0,Da
1026,F,47,Facultate,Nord-Est,Urban,5161.0,Nu
1027,F,27,Gimnaziu,Sud-Est,Urban,3133.0,Nu
1028,F,67,Facultate,Bucuresti-Ilfov,Urban,6674.0,Da
1029,F,67,Facultate,Centru,Urban,5615.0,Nu
1030,F,38,Facultate,Bucuresti-Ilfov,Urban,7403.0,Nu
1031,F,46,Liceu,Vest,Urban,4426.0,Da
1032,M,54,Gimnaziu,Nord-Vest,Urban,4592.0,Da
1033,M,67,Postliceal,Sud-Vest Oltenia,Rural,3925.0,Nu
1034,M,38,Profesional,Nord-Vest,Rural,4624.0,Da
1035,F,23,Facultate,Sud-Muntenia,Rural,4115.0,Da
1036,M,34,Profesional,Bucuresti-Ilfov,Rural,4346.0,Da
1037,M,35,Postliceal,Nord-Est,Urban,4604.0,Nu
1038,M,45,Liceu,Sud-Muntenia,Rural,3356.0,Da
1039,F,37,Liceu,Nord-Est,Urban,3745.0,Da
1040,F,49,Facultate,Centru,Urban,6461.0,Nu
1041,F,46,Masterat,Sud-Vest Oltenia,Rural,6150.0,Nu
1042,M,29,Profesional,Bucuresti-Ilfov,Rural,5192.0,Nu
1043,M,32,Doctorat,Nord-Est,Rural,6624.0,Da
1044,M,34,Liceu,Centru,Urban,5024.0,Nu
1045,M,38,Liceu,Sud-Est,Urban,3890.0,Da
1046,M,29,Masterat,Sud-Muntenia,Urban,7022.0,Da
1047,M,36,Profesional,Sud-Muntenia,Urban,4031.0,Da
1048,F,31,Postliceal,Bucuresti-Ilfov,Urban,6821.0,Nu
1049,M,50,Facultate,Nord-Est,Rural,5706.0,Da
1050,M,48,Masterat,Nord-Vest,Urban,7760.0,Da
1051,F,63,Facultate,Vest,Rural,4516.0,Nu
1052,M,40,Profesional,Sud-Vest Oltenia,Rural,3562.0,Da
1053,M,54,Masterat,Vest,Rural,6218.0,Da
1054,M,41,Masterat,Nord-Vest,Rural,6325.0,Nu
1055,F,48,Masterat,Sud-Muntenia,Urban,5376.0,Da
1056,M,47,Postliceal,Nord-Est,Rural,2752.0,Da
1057,M,36,Liceu,Sud-Muntenia,Rural,4027.0,Nu
1058,F,56,Liceu,Nord-Est,Urban,2937.0,Da
1059,M,31,Liceu,Sud-Vest Oltenia,Urban,4224.0,Da
1060,F,36,Gimnaziu,Sud-Muntenia,Rural,2200.0,Nu
1061,F,19,Masterat,Sud-Muntenia,Urban,5742.0,Da
1062,M,30,Liceu,Bucuresti-Ilfov,Urban,5336.0,Da
1063,M,66,Facultate,Sud-Est,Rural,4827.0,Da
1064,F,38,Facultate,Sud-Muntenia,Urban,4687.0,Nu
1065,F,62,Primar,Nord-Est,Rural,3130.0,Nu
1066,F,26,Gimnaziu,Vest,Urban,3479.0,Nu
1067,M,44,Liceu,Bucuresti-Ilfov,Rural,4681.0,Da
1068,M,49,Gimnaziu,Sud-Vest Oltenia,Rural,2558.0,Nu
1069,M,33,Primar,Bucuresti-Ilfov,Rural,4059.0,Da
1070,M,33,Liceu,Centru,Rural,2585.0,Nu
1071,M,54,Facultate,Centru,Urban,6897.0,Da
1072,M,27,Liceu,Nord-Vest,Urban,4306.0,Nu
1073,F,50,Primar,Sud-Muntenia,Rural,3354.0,Nu
1074,F,41,Postliceal,Bucuresti-Ilfov,Rural,4307.0,Nu
1075,F,48,Profesional,Vest,Urban,4107.0,Nu
1076,M,67,Facultate,Bucuresti-Ilfov,Urban,8271.0,Da
1077,M,26,Liceu,Centru,Urban,3335.0,Nu
1078,F,47,Masterat,Bucuresti-Ilfov,Urban,8038.0,Nu
1079,M,42,Postliceal,Centru,Rural,3966.0,Nu
1080,M,54,Gimnaziu,Nord-Vest,Urban,4764.0,Da
1081,M,44,Primar,Bucuresti-Ilfov,Rural,4629.0,Nu
1082,F,35,Facultate,Vest,Urban,6165.0,Nu
1083,M,35,Facultate,Sud-Est,Urban,7113.0,Da
1084,F,50,Postliceal,Sud-Muntenia,Urban,3836.0,Nu
1085,M,52,Doctorat,Nord-Est,Urban,7314.0,Da
1086,M,48,Primar,Bucuresti-Ilfov,Rural,6277.0,Da
1087,F,50,Facultate,Vest,Rural,5858.0,Nu
1088,F,49,Liceu,Sud-Est,Urban,3609.0,Nu
1089,F,23,Postliceal,Bucuresti-Ilfov,Rural,5001.0,Nu
1090,M,51,Profesional,Sud-Est,Rural,3913.0,Nu
1091,F,43,Gimnaziu,Bucuresti-Ilfov,Urban,5489.0,Nu
1092,M,26,Liceu,Sud-Muntenia,Urban,4100.0,Da
1093,M,67,Gimnaziu,Bucuresti-Ilfov,Urban,6459.0,Nu
1094,F,46,Facultate,Nord-Vest,Urban,5996.0,Nu
1095,M,31,Liceu,Nord-Est,Rural,3107.0,Da
1096,M,57,Masterat,Sud-Est,Urban,5928.0,Da
1097,M,45,Facultate,Nord-Est,Urban,5516.0,Nu
1098,M,60,Facultate,Sud-Muntenia,Rural,4994.0,Nu
1099,M,34,Liceu,Bucuresti-Ilfov,Urban,5485.0,Nu
1100,F,35,Postliceal,Sud-Muntenia,Rural,2787.0,Nu
1101,F,34,Masterat,Sud-Muntenia,Urban,6065.0,Nu
1102,F,64,Liceu,Sud-Muntenia,Rural,4172.0,Da
1103,F,41,Facultate,Sud-Vest Oltenia,Rural,5315.0,Da
1104,M,39,Profesional,Nord-Vest,Rural,2715.0,Nu
1105,F,28,Profesional,Centru,Urban,3334.0,Nu
1106,M,36,Gimnaziu,Nord-Est,Urban,4071.0,Da
1107,F,38,Liceu,Nord-Est,Rural,3304.0,Da
1108,M,41,Profesional,Sud-Muntenia,Urban,5223.0,Da
1109,F,40,Profesional,Centru,Urban,3558.0,Da
1110,M,43,Liceu,Sud-Vest Oltenia,Urban,4866.0,Da
1111,M,44,Liceu,Bucuresti-Ilfov,Rural,5506.0,Da
1112,M,38,Profesional,Sud-Vest Oltenia,Rural,2969.0,Da
1113,M,41,Profesional,Nord-Est,Rural,2507.0,Da
1114,M,45,Facultate,Centru,Urban,6187.0,Da
1115,F,18,Gimnaziu,Sud-Est,Urban,3245.0,Nu
1116,F,54,Liceu,Nord-Vest,Urban,5259.0,Nu
1117,M,34,Postliceal,Vest,Rural,3933.0,Da
1118,M,50,Gimnaziu,Nord-Vest,Rural,4508.0,Nu
1119,M,53,Postliceal,Nord-Vest,Rural,4394.0,Nu
1120,M,28,Facultate,Bucuresti-Ilfov,Urban,7444.0,Da
1121,F,29,Facultate,Nord-Vest,Rural,4483.0,Da
1122,M,36,Liceu,Vest,Urban,5361.0,Nu
1123,F,34,Masterat,Sud-Vest Oltenia,Urban,4713.0,Nu
1124,M,46,Masterat,Nord-Est,Urban,7127.0,Nu
1125,F,38,Liceu,Nord-Est,Rural,2243.0,Nu
1126,M,45,Liceu,Nord-Est,Urban,4092.0,Nu
1127,F,62,Primar,Nord-Est,Urban,3772.0,Nu
1128,M,34,Facultate,Bucuresti-Ilfov,Rural,6690.0,Da
1129,M,43,Gimnaziu,Nord-Vest,Rural,3978.0,Da
1130,M,36,Facultate,Vest,Urban,6938.0,Nu
1131,M,47,Profesional,Bucuresti-Ilfov,Rural,5405.0,Nu
1132,M,61,Facultate,Vest,Rural,6034.0,Da
1133,M,35,Postliceal,Sud-Muntenia,Rural,3886.0,Da
1134,M,43,Gimnaziu,Centru,Urban,4088.0,Da
1135,M,67,Postliceal,Vest,Rural,4879.0,Nu
1136,M,67,Primar,Centru,Urban,5634.0,Da
1137,F,34,Profesional,Sud-Vest Oltenia,Rural,2242.0,Da
1138,F,18,Liceu,Vest,Rural,3015.0,Nu
1139,M,53,Profesional,Sud-Muntenia,Urban,4888.0,Da
1140,M,36,Profesional,Sud-Vest Oltenia,Urban,4398.0,Nu
1141,F,43,Liceu,Bucuresti-Ilfov,Urban,5830.0,Nu
1142,F,19,Facultate,Nord-Vest,Urban,5307.0,Nu
1143,F,36,Gimnaziu,Centru,Rural,2236.0,Nu
1144,M,49,Profesional,Sud-Vest Oltenia,Urban,4657.0,Nu
1145,M,39,Liceu,Centru,Urban,3982.0,Da
1146,F,45,Masterat,Sud-Muntenia,Rural,4717.0,Da
1147,M,31,Postliceal,Nord-Est,Rural,3745.0,Da
1148,M,65,Facultate,Sud-Muntenia,Urban,5972.0,Da
1149,F,47,Masterat,Centru,Rural,6043.0,Nu
1150,M,61,Profesional,Sud-Vest Oltenia,Urban,5181.0,Nu
1151,M,27,Liceu,Vest,Urban,,Da
1152,F,38,Postliceal,Sud-Est,Rural,3738.0,Nu
1153,M,54,Liceu,Sud-Est,Rural,3491.0,Nu
1154,M,41,Gimnaziu,Bucuresti-Ilfov,Rural,,Da
1155,F,33,Doctorat,Bucuresti-Ilfov,Urban,8896.0,Nu
1156,F,21,Profesional,Bucuresti-Ilfov,Urban,4655.0,Nu
1157,M,60,,Sud-Vest Oltenia,Urban,4786.0,Nu
1158,M,38,Gimnaziu,Sud-Muntenia,Urban,4520.0,Nu
1159,F,42,Liceu,Centru,Urban,3678.0,Nu
1160,F,32,Postliceal,Nord-Est,Urban,2940.0,Nu
1161,F,45,Liceu,Sud-Vest Oltenia,Urban,3681.0,Nu
1162,F,55,Liceu,Bucuresti-Ilfov,Urban,5502.0,Da
1163,F,46,Facultate,Sud-Vest Oltenia,Urban,5001.0,Da
1164,F,46,Liceu,Bucuresti-Ilfov,Rural,4739.0,Da
1165,M,48,Postliceal,Bucuresti-Ilfov,Rural,5780.0,Da
1166,F,33,Liceu,Sud-Est,Urban,3599.0,Nu
1167,F,40,Liceu,Sud-Est,Rural,2233.0,Da
1168,M,18,Liceu,Bucuresti-Ilfov,Rural,4954.0,Da
1169,F,41,Liceu,Nord-Est,Urban,3505.0,Nu
1170,M,56,Liceu,Nord-Vest,Rural,4455.0,Nu
1171,M,41,Primar,Nord-Est,Rural,2255.0,Nu
1172,M,21,Liceu,Bucuresti-Ilfov,Urban,5325.0,Nu
1173,F,28,Primar,Sud-Est,Urban,3307.0,Da
1174,F,38,Facultate,Nord-Est,Urban,4796.0,Da
1175,F,54,Primar,Vest,Urban,4932.0,Nu
1176,F,32,Liceu,Bucuresti-Ilfov,Urban,6050.0,Da
1177,F,42,Postliceal,Sud-Vest Oltenia,Urban,4093.0,Nu
1178,M,39,Liceu,Vest,Urban,5812.0,Nu
1179,M,45,Postliceal,Sud-Vest Oltenia,Urban,4439.0,Nu
1180,F,36,Gimnaziu,Sud-Est,Urban,3647.0,Nu
1181,M,43,Masterat,Centru,Urban,7478.0,Da
1182,F,50,Masterat,Nord-Vest,Rural,5592.0,Da
1183,F,28,Masterat,Sud-Est,Rural,4854.0,Nu
1184,F,56,Liceu,Sud-Muntenia,Urban,2782.0,Nu
1185,F,29,Liceu,Nord-Vest,Rural,3574.0,Nu
1186,M,48,Profesional,Vest,Urban,5171.0,Nu
1187,F,35,Primar,Nord-Vest,Urban,4085.0,Da
1188,M,28,Facultate,Bucuresti-Ilfov,Rural,5952.0,Da
1189,F,58,Gimnaziu,Centru,Urban,3080.0,Da
1190,M,18,Facultate,Centru,Rural,5149.0,Nu
1191,F,31,Masterat,Sud-Muntenia,Rural,5147.0,Da
1192,M,21,Profesional,Bucuresti-Ilfov,Urban,5297.0,Nu
1193,F,45,Liceu,Nord-Vest,Rural,3501.0,Da
1194,F,39,Doctorat,Centru,Rural,5784.0,Nu
1195,M,18,Liceu,Centru,Rural,2588.0,Nu
1196,M,61,Liceu,Nord-Vest,Urban,5458.0,Da
1197,F,57,Profesional,Sud-Est,Urban,3858.0,Nu
1198,M,32,Facultate,Sud-Vest Oltenia,Urban,5841.0,Nu
1199,F,52,Facultate,Nord-Est,Rural,4192.0,Nu
1200,F,26,Liceu,Nord-Vest,Urban,3807.0,Nu
1201,F,41,Facultate,Vest,Rural,4097.0,Nu
1202,M,39,Facultate,Sud-Est,Urban,4476.0,Nu
1203,F,31,Facultate,Nord-Est,Urban,4720.0,Da
1204,F,50,Profesional,Nord-Vest,Rural,3959.0,Nu
1205,F,23,Liceu,Bucuresti-Ilfov,Urban,4572.0,Nu
1206,M,56,Facultate,Bucuresti-Ilfov,Urban,8601.0,Da
1207,F,53,,Sud-Est,Urban,3695.0,Nu
1208,M,67,Masterat,Bucuresti-Ilfov,Rural,7968.0,Da
1209,M,29,Liceu,Sud-Est,Rural,2535.0,Nu
1210,F,21,Profesional,Nord-Est,Rural,2200.0,Nu
1211,M,42,Profesional,Centru,Urban,4632.0,Nu
1212,M,29,Liceu,Sud-Muntenia,Rural,2300.0,Da
1213,F,26,Liceu,Vest,Urban,4109.0,Da
1214,F,54,Primar,Bucuresti-Ilfov,Urban,4149.0,Nu
1215,F,37,Liceu,Nord-Vest,Urban,4749.0,Nu
1216,M,45,Liceu,Nord-Est,Rural,2862.0,Nu
1217,M,47,Masterat,Nord-Vest,Rural,6167.0,Da
1218,M,41,Postliceal,Sud-Muntenia,Urban,4776.0,Nu
1219,M,48,Primar,Centru,Urban,4654.0,Nu
1220,M,18,Facultate,Nord-Vest,Rural,4950.0,Nu
1221,F,59,Facultate,Bucuresti-Ilfov,Urban,7262.0,Nu
1222,F,46,Liceu,Bucuresti-Ilfov,Rural,3433.0,Nu
1223,M,22,Facultate,Bucuresti-Ilfov,Urban,7860.0,Da
1224,M,44,Liceu,Sud-Est,Rural,3837.0,Nu
1225,F,61,Facultate,Sud-Muntenia,Urban,4964.0,Da
1226,M,41,Gimnaziu,Sud-Est,Urban,4851.0,Nu
1227,F,32,Facultate,Sud-Est,Urban,5852.0,Nu
1228,F,43,Primar,Nord-Est,Urban,3051.0,Nu
1229,F,29,Liceu,Sud-Est,Urban,4457.0,Da
1230,M,65,,Centru,Urban,5354.0,Da
1231,M,42,Doctorat,Nord-Est,Urban,7754.0,Nu
1232,M,44,Masterat,Nord-Vest,Urban,6838.0,Nu
1233,M,61,Masterat,Sud-Muntenia,Urban,7146.0,Da
1234,M,55,Liceu,Centru,Urban,5332.0,Da
1235,F,56,Profesional,Centru,Urban,4907.0,Nu
1236,M,37,Masterat,Bucuresti-Ilfov,Rural,8342.0,Nu
1237,F,44,Liceu,Centru,Rural,2561.0,Nu
1238,M,58,Liceu,Sud-Est,Urban,3934.0,Da
1239,F,42,Facultate,Sud-Est,Urban,,Da
1240,M,60,Masterat,Nord-Est,Urban,6982.0,Da
1241,F,58,Gimnaziu,Nord-Vest,Urban,4311.0,Da
1242,F,51,Postliceal,Sud-Muntenia,Urban,4028.0,Da
1243,F,49,Facultate,Nord-Vest,Urban,5810.0,Nu
1244,M,26,Facultate,Sud-Est,Rural,5266.0,Nu
1245,M,40,Postliceal,Nord-Vest,Urban,5309.0,Da
1246,M,46,Profesional,Nord-Est,Rural,4464.0,Nu
1247,M,44,Masterat,Sud-Vest Oltenia,Urban,6629.0,Da
1248,M,34,Facultate,Sud-Est,Urban,6179.0,Da
1249,F,42,Masterat,Nord-Est,Rural,4275.0,Nu
1250,M,58,Liceu,Sud-Muntenia,Urban,4268.0,Nu
1251,F,33,Gimnaziu,Sud-Est,Urban,4377.0,Da
1252,M,33,Profesional,Sud-Muntenia,Rural,2842.0,Nu
1253,M,40,Facultate,Nord-Est,Urban,6595.0,Nu
1254,M,51,Facultate,Sud-Vest Oltenia,Urban,6204.0,Nu
1255,M,63,Liceu,Sud-Vest Oltenia,Urban,3969.0,Da
1256,M,52,Liceu,Sud-Vest Oltenia,Rural,3348.0,Nu
1257,M,67,Facultate,Sud-Vest Oltenia,Urban,5456.0,Da
1258,F,44,Profesional,Vest,Rural,3897.0,Da
1259,M,41,Masterat,Nord-Vest,Urban,6251.0,Nu
1260,F,29,Gimnaziu,Sud-Vest Oltenia,Rural,2607.0,Nu
1261,M,28,Profesional,Sud-Est,Urban,3724.0,Nu
1262,M,46,Postliceal,Sud-Est,Urban,5914.0,Da
1263,F,29,Facultate,Sud-Muntenia,Rural,3724.0,Da
1264,M,50,Liceu,Bucuresti-Ilfov,Urban,5885.0,Nu
1265,M,27,Liceu,Bucuresti-Ilfov,Urban,5775.0,Nu
1266,F,43,Liceu,Sud-Est,Urban,4067.0,Nu
1267,F,41,Gimnaziu,Bucuresti-Ilfov,Rural,5255.0,Da
1268,M,28,Primar,Sud-Muntenia,Urban,3827.0,Da
1269,F,30,Primar,Sud-Muntenia,Rural,2200.0,Da
1270,F,23,Primar,Sud-Muntenia,Urban,2258.0,Nu
1271,F,59,Gimnaziu,Bucuresti-Ilfov,Urban,5371.0,Da
1272,F,34,Liceu,Bucuresti-Ilfov,Rural,4473.0,Da
1273,M,21,Postliceal,Nord-Est,Urban,2687.0,Da
1274,M,54,Facultate,Sud-Muntenia,Urban,7068.0,Nu
1275,M,29,Liceu,Sud-Est,Rural,3134.0,Nu
1276,F,43,Masterat,Sud-Vest Oltenia,Rural,5281.0,Nu
1277,F,51,Facultate,Nord-Vest,Urban,5436.0,Da
1278,F,60,Profesional,Sud-Est,Rural,2517.0,Da
1279,F,61,Liceu,Sud-Muntenia,Rural,4226.0,Nu
1280,F,40,Facultate,Nord-Vest,Urban,6188.0,Da
1281,F,50,Liceu,Vest,Urban,3712.0,Nu
1282,M,59,Facultate,Sud-Muntenia,Urban,5800.0,Nu
1283,M,20,Postliceal,Nord-Est,Rural,2690.0,Da
1284,M,53,Masterat,Sud-Muntenia,Rural,5816.0,Da
1285,F,61,Profesional,Nord-Est,Urban,3185.0,Nu
1286,F,45,Postliceal,Nord-Est,Rural,3017.0,Da
1287,F,36,Profesional,Sud-Vest Oltenia,Urban,3094.0,Nu
1288,M,32,Facultate,Bucuresti-Ilfov,Urban,7229.0,Da
1289,F,62,Profesional,Nord-Vest,Rural,4119.0,Da
1290,M,35,Liceu,Sud-Muntenia,Rural,2331.0,Nu
1291,M,44,Liceu,Sud-Vest Oltenia,Rural,2925.0,Da
1292,F,59,Gimnaziu,Bucuresti-Ilfov,Urban,5517.0,Nu
1293,M,29,Masterat,Centru,Rural,6926.0,Da
1294,F,43,Gimnaziu,Nord-Est,Rural,2200.0,Da
1295,M,53,Facultate,Nord-Vest,Rural,5829.0,Da
1296,F,38,Facultate,Bucuresti-Ilfov,Rural,5982.0,Nu
1297,M,44,Gimnaziu,Vest,Rural,3520.0,Nu
1298,F,38,Masterat,Sud-Est,Urban,5407.0,Da
1299,F,49,Postliceal,Bucuresti-Ilfov,Rural,5382.0,Nu
1300,F,66,Liceu,Nord-Est,Urban,3292.0,Nu
1301,M,28,Liceu,Sud-Muntenia,Rural,2509.0,Nu
1302,M,39,Liceu,Bucuresti-Ilfov,Urban,4700.0,Nu
1303,F,44,Liceu,Sud-Est,Urban,4495.0,Da
1304,F,41,Facultate,Vest,Urban,6108.0,Da
1305,F,45,Facultate,Bucuresti-Ilfov,Rural,6159.0,Nu
1306,F,63,Masterat,Sud-Est,Urban,5984.0,Nu
1307,M,34,Primar,Nord-Est,Rural,2200.0,Nu
1308,F,50,Masterat,Centru,Urban,5959.0,Nu
1309,M,53,Primar,Vest,Urban,5055.0,Da
1310,F,49,Profesional,Nord-Est,Rural,2315.0,Nu
1311,M,27,Masterat,Sud-Vest Oltenia,Rural,4434.0,Nu
1312,F,45,Masterat,Sud-Muntenia,Urban,5507.0,Nu
1313,F,23,Facultate,Vest,Rural,5610.0,Nu
1314,F,40,Doctorat,Sud-Est,Urban,6394.0,Da
1315,M,40,Postliceal,Bucuresti-Ilfov,Urban,6922.0,Nu
1316,M,34,Liceu,Nord-Est,Rural,3255.0,Nu
1317,F,31,Liceu,Nord-Est,Rural,2479.0,Nu
1318,F,64,Liceu,Nord-Est,Urban,4418.0,Nu
1319,M,39,Facultate,Nord-Est,Rural,4353.0,Da
1320,F,41,Gimnaziu,Centru,Rural,2200.0,Nu
1321,M,61,Profesional,Sud-Vest Oltenia,Urban,3701.0,Nu
1322,M,51,Postliceal,Bucuresti-Ilfov,Rural,4938.0,Nu
1323,M,33,Liceu,Centru,Rural,3608.0,Da
1324,F,32,Masterat,Sud-Est,Urban,5389.0,Nu
1325,F,50,Facultate,Bucuresti-Ilfov,Urban,6907.0,Da
1326,F,42,Liceu,Sud-Muntenia,Urban,3447.0,Nu
1327,F,18,Facultate,Centru,Urban,5125.0,Da
1328,M,46,Liceu,Bucuresti-Ilfov,Rural,6183.0,Da
1329,F,43,Profesional,Bucuresti-Ilfov,Urban,5801.0,Da
1330,M,63,Liceu,Nord-Est,Urban,4377.0,Da
1331,F,30,Postliceal,Sud-Vest Oltenia,Urban,3683.0,Nu
1332,F,47,Liceu,Bucuresti-Ilfov,Urban,5082.0,Da
1333,M,42,Gimnaziu,Vest,Rural,2989.0,Nu
1334,F,22,Liceu,Nord-Vest,Urban,3422.0,Da
1335,M,33,Facultate,Nord-Est,Urban,4704.0,Da
1336,F,36,Liceu,Nord-Vest,Rural,3732.0,Da
1337,F,21,Gimnaziu,Sud-Muntenia,Urban,3231.0,Da
1338,F,59,Liceu,Nord-Est,Urban,3047.0,Nu
1339,M,31,Postliceal,Nord-Vest,Rural,3438.0,Da
1340,M,43,Liceu,Vest,Rural,4916.0,Da
1341,M,59,Facultate,Centru,Urban,7338.0,Nu
1342,F,38,Profesional,Sud-Est,Urban,4019.0,Da
1343,M,49,Facultate,Nord-Vest,Urban,6662.0,Nu
1344,F,36,Postliceal,Nord-Vest,Urban,5215.0,Da
1345,M,27,Gimnaziu,Sud-Est,Urban,3484.0,Nu
1346,F,30,Liceu,Bucuresti-Ilfov,Urban,4723.0,Da
1347,M,44,Liceu,Bucuresti-Ilfov,Rural,5576.0,Nu
1348,M,38,Facultate,Sud-Vest Oltenia,Rural,4763.0,Da
1349,M,56,Facultate,Nord-Vest,Urban,6448.0,Da
1350,F,24,Liceu,Sud-Muntenia,Rural,2271.0,Da
1351,M,47,Liceu,Nord-Est,Urban,3894.0,Nu
1352,F,43,Masterat,Bucuresti-Ilfov,Rural,8404.0,Da
1353,F,44,Masterat,Sud-Est,Rural,4840.0,Da
1354,F,46,Liceu,Nord-Vest,Rural,3570.0,Nu
1355,F,30,Profesional,Bucuresti-Ilfov,Urban,4858.0,Da
1356,M,35,Facultate,Centru,Rural,4993.0,Nu
1357,F,47,Profesional,Nord-Vest,Urban,4773.0,Nu
1358,M,46,Gimnaziu,Bucuresti-Ilfov,Rural,4112.0,Da
1359,F,57,Primar,Sud-Muntenia,Urban,4837.0,Nu
1360,M,22,Facultate,Bucuresti-Ilfov,Urban,7485.0,Da
1361,F,67,Profesional,Nord-Vest,Urban,3847.0,Da
1362,F,61,Liceu,Centru,Urban,5262.0,Nu
1363,F,50,Facultate,Bucuresti-Ilfov,Rural,5486.0,Nu
1364,M,37,Liceu,Sud-Muntenia,Urban,4287.0,Da
1365,F,38,Liceu,Bucuresti-Ilfov,Rural,4184.0,Da
1366,F,62,Gimnaziu,Sud-Muntenia,Urban,2735.0,Nu
1367,F,67,Facultate,Vest,Rural,5258.0,Nu
1368,F,56,Facultate,Sud-Muntenia,Rural,3284.0,Nu
1369,F,39,Primar,Sud-Est,Rural,2485.0,Nu
1370,F,34,Liceu,Centru,Rural,3202.0,Nu
1371,F,54,Facultate,Sud-Est,Rural,5645.0,Nu
1372,F,36,Facultate,Nord-Vest,Urban,6897.0,Nu
1373,F,43,Postliceal,Centru,Urban,5364.0,Nu
1374,M,39,Liceu,Sud-Vest Oltenia,Urban,3660.0,Da
1375,F,52,Masterat,Nord-Vest,Urban,7288.0,Nu
1376,F,56,Postliceal,Sud-Est,Urban,4565.0,Nu
1377,F,43,Masterat,Sud-Muntenia,Rural,5131.0,Nu
1378,M,30,Masterat,Nord-Est,Rural,4204.0,Da
1379,M,49,Gimnaziu,Nord-Est,Urban,3393.0,Da
1380,F,49,Masterat,Bucuresti-Ilfov,Rural,7124.0,Nu
1381,F,52,Facultate,Sud-Muntenia,Rural,5560.0,Nu
1382,M,29,Liceu,Sud-Vest Oltenia,Rural,3704.0,Da
1383,F,23,Facultate,Nord-Est,Rural,3009.0,Da
1384,F,31,Facultate,Vest,Urban,4664.0,Da
1385,M,38,Facultate,Sud-Est,Rural,4664.0,Da
1386,M,56,Facultate,Centru,Urban,6043.0,Da
1387,M,34,Liceu,Sud-Vest Oltenia,Rural,2757.0,Nu
1388,F,36,Facultate,Nord-Est,Urban,5228.0,Da
1389,M,38,Masterat,Sud-Est,Urban,6764.0,Da
1390,F,30,Liceu,Sud-Muntenia,Urban,4174.0,Nu
1391,F,39,Facultate,Sud-Muntenia,Rural,2925.0,Nu
1392,M,51,Postliceal,Sud-Vest Oltenia,Urban,6521.0,Da
1393,M,25,,Bucuresti-Ilfov,Urban,6629.0,Nu
1394,M,51,Masterat,Centru,Rural,6637.0,Nu
1395,M,37,Primar,Centru,Urban,3671.0,Nu
1396,F,20,Facultate,Vest,Urban,6369.0,Nu
1397,M,53,Liceu,Nord-Est,Urban,4526.0,Nu
1398,M,30,Doctorat,Sud-Muntenia,Urban,7672.0,Da
1399,F,48,Liceu,Nord-Vest,Urban,5062.0,Da
1400,F,20,Facultate,Bucuresti-Ilfov,Rural,5514.0,Da
1401,M,46,Masterat,Vest,Rural,6809.0,Da
1402,F,35,Liceu,Sud-Vest Oltenia,Urban,3459.0,Da
1403,M,37,Profesional,Sud-Muntenia,Urban,3948.0,Nu
1404,F,18,Profesional,Sud-Muntenia,Rural,2408.0,Nu
1405,F,33,Gimnaziu,Sud-Muntenia,Rural,3368.0,Da
1406,F,44,Profesional,Nord-Est,Rural,3359.0,Nu
1407,F,41,Gimnaziu,Sud-Est,Urban,3798.0,Nu
1408,F,44,Liceu,Bucuresti-Ilfov,Urban,5854.0,Nu
1409,M,53,Facultate,Sud-Vest Oltenia,Urban,5931.0,Da
1410,F,51,Liceu,Nord-Est,Urban,3603.0,Nu
1411,M,26,Liceu,Sud-Muntenia,Rural,2989.0,Da
1412,F,53,Liceu,Sud-Muntenia,Rural,2543.0,Da
1413,M,42,Facultate,Nord-Est,Urban,6743.0,Da
1414,M,54,Gimnaziu,Nord-Vest,Urban,4163.0,Nu
1415,M,37,Facultate,Sud-Est,Urban,5063.0,Da
1416,F,29,Postliceal,Centru,Urban,4192.0,Nu
1417,M,47,Liceu,Vest,Urban,5096.0,Da
1418,F,67,Profesional,Nord-Est,Rural,2501.0,Nu
1419,F,49,Masterat,Sud-Est,Urban,6481.0,Da
1420,M,41,Masterat,Bucuresti-Ilfov,Urban,8125.0,Nu
1421,F,29,Profesional,Sud-Muntenia,Urban,3859.0,Nu
1422,F,54,Liceu,Bucuresti-Ilfov,Urban,6240.0,Nu
1423,M,37,Facultate,Sud-Vest Oltenia,Urban,5640.0,Nu
1424,M,33,Gimnaziu,Sud-Est,Urban,4102.0,Nu
1425,M,31,Liceu,Vest,Urban,4437.0,Da
1426,M,67,Postliceal,Nord-Est,Rural,4156.0,Nu
1427,F,38,Profesional,Centru,Rural,2200.0,Nu
1428,F,36,Liceu,Nord-Est,Urban,2392.0,Nu
1429,F,53,Masterat,Nord-Vest,Urban,5805.0,Nu
1430,F,31,Masterat,Sud-Muntenia,Urban,5758.0,Da
1431,F,44,Liceu,Centru,Rural,4019.0,Da
1432,F,56,Liceu,Nord-Vest,Urban,4467.0,Nu
1433,F,65,Facultate,Nord-Est,Urban,4514.0,Da
1434,F,45,Facultate,Sud-Vest Oltenia,Urban,5109.0,Nu
1435,F,51,Doctorat,Sud-Muntenia,Urban,6607.0,Da
1436,F,27,Profesional,Centru,Urban,4540.0,Da
1437,M,45,Liceu,Sud-Vest Oltenia,Urban,4047.0,Nu
1438,F,50,Facultate,Vest,Rural,5141.0,Da
1439,M,32,Liceu,Sud-Est,Rural,3189.0,Da
1440,M,36,Liceu,Nord-Vest,Rural,3757.0,Da
